"","cd","res","wte","f38_central","f38_10","f38_90","f38_PRWIN","prob_win","10","50","90"
"114",16,0.283066289663839,6,0.313323464100666,0.232287194670614,0.393767579570688,0.00288571428571429,0,0.27157589861282,0.312628685495053,0.363394706656054
"125",17,0.578925914603078,0,0.588878333942273,0.532992327365729,0.644764340518816,0.977842857142857,0.984,0.524734723030174,0.572106923522575,0.623187599727244
"124",17,0.578925914603078,1,0.589309453201467,0.533387871970549,0.645026514542825,0.9778,0.956,0.516888643402267,0.565370858776582,0.615285346650406
"122",17,0.578925914603078,2,0.586339980118122,0.529910531547863,0.642842523829016,0.974528571428571,0.942,0.510866398300348,0.55892280814843,0.606071239131839
"121",17,0.578925914603078,3,0.607808797774802,0.54587999823397,0.669354957394517,0.980371428571429,0.962,0.514754055410976,0.567423182946204,0.615492146634437
"126",17,0.578925914603078,4,0.6491780600156,0.576329305802882,0.721938512708061,0.992857142857143,0.926,0.50673541476475,0.552448499359453,0.606811440038537
"123",17,0.578925914603078,5,0.641422243152953,0.56835273513959,0.714167978925371,0.990185714285714,0.932,0.506387159888278,0.552964886252041,0.600700020908206
"120",17,0.578925914603078,6,0.627573621392515,0.554077322697906,0.700878600126566,0.983871428571429,0.966,0.518862166252789,0.565213916164773,0.616884061469826
"131",18,0.216635436185717,0,0.1542323928016,0.0844553062282456,0.223476264533807,0,0,0.267302104280478,0.30793729047349,0.34751221003955
"130",18,0.216635436185717,1,0.157564985558765,0.0872546841442642,0.22743094127231,0,0,0.25590674650268,0.299873328252994,0.340098032820544
"128",18,0.216635436185717,2,0.164541213063764,0.09313485892024,0.23575501740354,0,0,0.252197487811065,0.291899979297829,0.331603447986852
"127",18,0.216635436185717,3,0.165429904465674,0.0935940161445605,0.236910316226024,0,0,0.246345255072783,0.290990979575465,0.334953256222295
"133",18,0.216635436185717,4,0.157757535362512,0.0869436421535955,0.228556617048063,0,0,0.242628557824361,0.284805835045381,0.328922791452922
"129",18,0.216635436185717,5,0.159683033399985,0.0882618677330963,0.230956083833222,0,0,0.242197511954572,0.281048310764218,0.326832452355476
"132",18,0.216635436185717,6,0.177497704451882,0.10331447528213,0.251355113888807,0.0000142857142857143,0,0.248707668014808,0.28939607966764,0.330944058928863
"137",19,0.7523,0,0.785314285714286,0.717585714285714,0.853557142857143,0.999985714285714,1,0.585296927319657,0.640469193988318,0.698659617343828
"135",19,0.7523,1,0.785228571428571,0.717085714285714,0.853357142857143,0.999971428571429,0.996,0.574980323902297,0.630947998026531,0.688288365929633
"134",19,0.7523,2,0.776157142857143,0.707114285714286,0.845014285714286,0.999957142857143,0.992,0.565963970669779,0.625740103859857,0.680160767118116
"136",19,0.7523,3,0.781785714285714,0.712985714285714,0.850742857142857,0.999942857142857,1,0.570247701422247,0.631909554486195,0.688059161453338
"139",19,0.7523,4,0.790728571428571,0.722428571428572,0.8589,1,0.998,0.562395426508911,0.619593064947541,0.673788584984664
"140",19,0.7523,5,0.779114285714286,0.709642857142857,0.848685714285714,0.999971428571429,1,0.563208571261732,0.614798210531385,0.669921078413087
"138",19,0.7523,6,0.755357142857143,0.684028571428571,0.8267,0.999914285714286,1,0.570950601430414,0.627563417615357,0.692199035328723
"143",20,NA,0,NA,NA,NA,NA,0.008,0.387586616832795,0.424522932921946,0.468807761217521
"141",20,NA,1,NA,NA,NA,NA,0.002,0.374781619957237,0.417579362652074,0.458356892537587
"145",20,NA,2,NA,NA,NA,NA,0,0.362526141013553,0.404834266904971,0.447960741310976
"144",20,NA,3,NA,NA,NA,NA,0.002,0.363029440725074,0.405997081516651,0.44362919551195
"142",20,NA,4,NA,NA,NA,NA,0,0.353510382429715,0.393798003967197,0.436126840241228
"147",20,NA,5,NA,NA,NA,NA,0,0.350631739127039,0.390767240637988,0.432877716446288
"146",20,NA,6,NA,NA,NA,NA,0,0.357261453181365,0.395009359852544,0.438123311355418
"149",21,0.513334014509043,0,0.531357254290172,0.476502488670975,0.585662283634202,0.782928571428571,0.982,0.529056371332506,0.58521319027857,0.638689414220427
"150",21,0.513334014509043,1,0.530641951103585,0.475269583816059,0.585568725306717,0.773614285714286,0.956,0.519485534578483,0.574533283270793,0.632455055558344
"153",21,0.513334014509043,2,0.530976791942863,0.468328627297024,0.593156869554713,0.743828571428571,0.948,0.510883071020789,0.57061885749496,0.625061757731087
"148",21,0.513334014509043,3,0.535620012971929,0.471243042671614,0.599906481439582,0.775271428571429,0.962,0.521496109527311,0.577697327932591,0.630219805140863
"151",21,0.513334014509043,4,0.543231296109108,0.477256611800914,0.608813722975725,0.815128571428571,0.93,0.508298248075919,0.561402911973775,0.616974315577243
"152",21,0.513334014509043,5,0.530556142947769,0.465486511796514,0.594991390508413,0.7374,0.928,0.509275640688315,0.560972727642165,0.614108334963148
"154",21,0.513334014509043,6,0.52490745637229,0.460376218176324,0.589348039586009,0.703614285714286,0.96,0.517732128990488,0.570661849606632,0.634172245119091
"158",22,0.525099683058992,0,0.614800927087793,0.540678191293051,0.689159863594089,0.9745,0.972,0.518811774667314,0.558261481548837,0.602880530175639
"156",22,0.525099683058992,1,0.616134175869604,0.54136892458513,0.690633673891218,0.974785714285714,0.952,0.514265331350944,0.554954740184539,0.59631136762063
"155",22,0.525099683058992,2,0.610169491525424,0.535359948030473,0.684934742809898,0.969257142857143,0.922,0.506103203313038,0.545746357791432,0.587720401501638
"159",22,0.525099683058992,3,0.609486411077813,0.534418872436853,0.684362036640635,0.967814285714286,0.938,0.50921963223688,0.552305914829874,0.59318182438368
"157",22,0.525099683058992,4,0.618407842674068,0.543170141144511,0.69346837536172,0.976471428571429,0.87,0.496658132788842,0.534547091943723,0.581249800847453
"160",22,0.525099683058992,5,0.609756097560976,0.533706372172681,0.684979035020374,0.966471428571429,0.868,0.494746098854839,0.537494209548814,0.576052480966039
"161",22,0.525099683058992,6,0.599805114273903,0.523578220043702,0.675352861276797,0.953842857142857,0.934,0.504980103069946,0.545218747338139,0.592537673858914
"167",23,0.502247191011236,0,0.581217121169937,0.521504037044092,0.640856937707897,0.959985714285714,0.168,0.426572183386443,0.465415096931774,0.510302974605139
